Timestamp," ""Temp F"""," ""RH"""," ""Wind_spd"""," ""Wind_dir"""," ""Slr_W"""," ""Rain_mm"""," ""Soil_W_1"""," ""Soil_W_2"""," ""Soil_W_3"""," ""Soil_W_4"""
"1/1/2019, 12:00:00 AM",49.7,13.89,5.92,206.1,0,0,0.11,0.28, NAN,0.16
"12/31/2018, 11:30:00 PM",49.95,13.55,5.27,209.6,0,0,0.11,0.28, NAN,0.16
"12/31/2018, 11:00:00 PM",50.56,13.38,5.78,198.4,0,0,0.11,0.28, NAN,0.16
"12/31/2018, 10:30:00 PM",50.65,12.94,5.98,207.1,0,0,0.11,0.28, NAN,0.16
"12/31/2018, 10:00:00 PM",50.52,12.29,4.97,205.6,0,0,0.11,0.28, NAN,0.16
"12/31/2018, 9:30:00 PM",50.66,12.53,5.02,205.6,0,0,0.11,0.28, NAN,0.16
"12/31/2018, 9:00:00 PM",50.01,12.87,3.15,211.2,0,0,0.11,0.28, NAN,0.16
"12/31/2018, 8:30:00 PM",50.28,14.46,4,209.9,0,0,0.11,0.28, NAN,0.16
"12/31/2018, 8:00:00 PM",50.81,14.63,5.67,204.4,0,0,0.11,0.28, NAN,0.16
"12/31/2018, 7:30:00 PM",51.19,13.88,5.9,196.9,0,0,0.11,0.28, NAN,0.16
"12/31/2018, 7:00:00 PM",51.67,13.31,6.03,207.6,0,0,0.11,0.28, NAN,0.16
"12/31/2018, 6:30:00 PM",51.92,13.27,4.24,210.8,0,0,0.11,0.28, NAN,0.16
"12/31/2018, 6:00:00 PM",51.92,12.9,3.26,212.2,0.005,0,0.11,0.28, NAN,0.16
"12/31/2018, 5:30:00 PM",52.33,16.46,2.82,213.9,0.016,0,0.11,0.28, NAN,0.16
"12/31/2018, 5:00:00 PM",54.06,15.33,4.19,207.9,0.112,0,0.11,0.28, NAN,0.16
"12/31/2018, 4:30:00 PM",55.39,15.43,4.06,210.7,0.288,0,0.11,0.28, NAN,0.16
"12/31/2018, 4:00:00 PM",56.81,22.44,3.61,210,0.373,0,0.11,0.28, NAN,0.16
"12/31/2018, 3:30:00 PM",56.22,22.3,3.17,211.9,0.305,0,0.11,0.28, NAN,0.16
"12/31/2018, 3:00:00 PM",56.91,24.54,3.64,211.7,0.461,0,0.11,0.28, NAN,0.16
