Bag Label,Time Point,Abundance
NDT0_night_R1_first,0,23174261.59
NDT0_night_R2_first,0,28890761.59
NDT0_night_R3_first,0,24683861.59
NDT0_night_R4_first,0,44242061.59
NDT0_night_R5_first,0,24639461.59
NDT0_night_R6_first,0,60914261.59
NDT0_night_R7_first,0,64821461.59
NDT0_morning_R1_first,0,24284261.59
NDT0_morning_R2_first,0,22441661.59
NDT0_morning_R3_first,0,23418461.59
NDT0_morning_R4_first,0,38791961.59
NDT0_morning_R5_first,0,25527461.59
NDT0_morning_R6_first,0,25083461.59
NDT0_morning_R7_first,0,29745461.59
NDT1R1,1,19042942.63
NDT1R2,1,23083342.63
NDT1R3,1,23971342.63
NDT1R4,1,18421342.63
NDT1R5,1,21906742.63
NDT1R6,1,22772542.63
NDT1R7,1,16800742.63
NDUT1R1,1,8808742.625
NDUT1R2,1,15890542.63
NDUT1R3,1,16689742.63
NDUT1R4,1,6255742.625
NDUT1R5,1,18332542.63
NDUT1R6,1,17444542.63
NDUT1R7,1,13892542.63
NDT2R1,2,21321002.1
NDT2R2,2,18634802.1
NDT2R3,2,29412902.1
NDT2R4,2,24506702.1
NDT2R5,2,27192902.1
NDT2R6,2,22641902.1
NDT2R7,2,8855702.1
NDUT2R1,2,4526702.1
NDUT2R2,2,6302702.1
NDUT2R3,2,4526702.1
NDUT2R4,2,4770902.1
NDUT2R5,2,5450222.1
NDUT2R6,2,7519262.1
NDUT2R7,2,4770902.1
NDT3R1,3,23308590.3
NDT3R2,3,25750590.3
NDT3R3,3,22176390.3
NDT3R4,3,15627390.3
NDT3R5,3,17025990.3
NDT3R6,3,19601190.3
NDT3R7,3,29968590.3
NDUT3R1,3,8034990.3
NDUT3R2,3,6325590.3
NDUT3R3,3,10210590.3
NDUT3R4,3,9300390.3
NDUT3R5,3,6369990.3
NDUT3R6,3,7346790.3
NDUT3R7,3,7413390.3
NDT4R1,4,2904608.04
NDT4R2,4,10763408.04
NDT4R3,4,7944008.04
NDT4R4,4,8920808.04
NDT4R5,4,3148808.04
NDT4R6,4,22640408.04
NDT4R7,4,7633208.04
NDUT4R1,4,5102408.04
NDUT4R2,4,4636208.04
NDUT4R3,4,5968208.04
NDUT4R4,4,10696808.04
NDUT4R5,4,10585808.04
NDUT4R6,4,12206408.04
NDUT4R7,4,6101408.04
NDT5R1,5,4682640.926
NDT5R2,5,3861240.926
NDT5R3,5,4105440.926
NDT5R4,5,2640240.926
NDT5R5,5,3173040.926
NDT5R6,5,5037840.926
NDT5R7,5,2795640.926
NDUT5R1,5,5637240.926
NDUT5R2,5,4704840.926
NDUT5R3,5,3150840.926
NDUT5R4,5,5504040.926
NDUT5R5,5,5659440.926
NDUT5R6,5,9766440.926
NDUT5R7,5,4727040.926
