Bag Label,Time Point,Abundance Per G,Dry_to_Wet
Phyllosphere_T0_1__4_13_18,0,48143818544,0.294693618
Phyllosphere_T0_3__4_13_18,0,53436139133,0.294693618
Phyllosphere_T0_5__4_13_18,0,68472999831,0.294693618
Phyllosphere_T0_13__4_20_18,0,29366625838,0.294693618
Phyllosphere_T0_16__4_20_18,0,27426872475,0.294693618
Phyllosphere_T0_17__4_20_18,0,37530991384,0.294693618
Phyllosphere_T0_18__4_20_18,0,48195302675,0.294693618
RCT1R1,1,124687476.4,0.422027027
RCT1R2,1,3897614895,0.143526894
RCT1R3,1,3867582.771,0.572171053
RCT1R4,1,33184287.95,0.608582924
RCT1R5,1,920035089.4,0.299113924
RCT1R6,1,80027180.63,0.600653595
RCT1R7,1,1196618270,0.272141053
ROT1R1,1,1063417785,0.508707791
ROT1R2,1,1217777165,0.428115942
ROT1R3,1,2991152826,0.325245902
ROT1R4,1,3553428559,0.388506787
ROT1R5,1,266899554.4,0.397391304
ROT1R6,1,171416603.3,0.680337834
ROT1R7,1,5556136514,0.374079602
RUT1R1,1,2929944403,0.302412924
RUT1R2,1,95311608.01,0.503294798
RUT1R3,1,6705681438,0.368474076
RUT1R4,1,442100616.1,0.65721519
RUT1R5,1,1131594505,0.394817883
RUT1R6,1,1987244410,0.372911392
RUT1R7,1,3184963157,0.426918919
RET1R1,1,5576422.815,0.7466
RET1R2,1,88643910.06,0.789341983
RET1R3,1,22878378.27,0.786761905
RET1R4,1,31911599.88,0.795363961
RET1R5,1,17352324.29,0.825343128
RET1R6,1,8009908.24,0.857040816
RET1R7,1,20599389.23,0.833225807
LitterT1R1,1,342868634.5,0.44319788
LitterT1R2,1,331670443.6,0.44319788
LitterT1R3,1,164967112.9,0.44319788
RCT2R1,2,25622515.1,0.814710765
RCT2R2,2,54116756.68,0.873803564
RCT2R3,2,1060032329,0.881562008
RCT2R4,2,14318308.43,0.856436966
RCT2R5,2,40900992.66,0.83854597
RCT2R6,2,648418236.1,0.887448133
RCT2R7,2,484358446.4,0.864211738
ROT2R1,2,312690110.4,0.887441376
ROT2R2,2,850302175.7,0.843001089
ROT2R3,2,1872210778,0.826892227
ROT2R4,2,7585677405,0.862783172
ROT2R5,2,2019948939,0.881461373
ROT2R6,2,3045977220,0.864879878
ROT2R7,2,4290562017,0.877722323
RUT2R1,2,1382706387,0.892081817
RUT2R2,2,2121452634,0.888173888
RUT2R3,2,1771854595,0.840577874
RUT2R4,2,1951305012,0.86757764
RUT2R5,2,1319857447,0.903465796
RUT2R6,2,2827999109,0.904157971
RUT2R7,2,4784693045,0.887815352
RET2R1,2,8390739.288,0.836838374
RET2R2,2,35843805.84,0.818301168
RET2R3,2,25949570.35,0.853182752
RET2R4,2,31424936.6,0.870818382
RET2R5,2,30839023.64,0.823283212
RET2R6,2,19348240.05,0.872225679
RET2R7,2,22448722.13,0.890007746
LitterT2R1,2,254763434.2,0.83323428
LitterT2R2,2,260527963,0.974186016
LitterT2R3,2,443305646.8,0.887835821
RCT3R1,3,969439007,0.915338645
RCT3R2,3,8847525.751,0.871751994
RCT3R3,3,1632984299,0.881570012
RCT3R4,3,42862566.05,0.898943345
RCT3R5,3,575536002.7,0.897058824
RCT3R6,3,2133166494,0.928133125
RCT3R7,3,958581027.5,0.894420982
ROT3R1,3,1083593145,0.903488838
ROT3R2,3,1687520827,0.878378378
ROT3R3,3,319462564,0.854204477
ROT3R4,3,217552683.7,0.913425507
ROT3R5,3,1581687338,0.89366903
ROT3R6,3,2808308583,0.900079145
ROT3R7,3,1207496830,0.950952986
RUT3R1,3,1607859325,0.925111503
