1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: CD00000032DCD521
Is Mission Active?  true
Mission Start:  Wed Sep 12 11:11:00 PDT 2018
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  1004
Total Samples:  12574
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/12/18 11:11:00 AM,C,33
9/12/18 11:21:00 AM,C,34.5
9/12/18 11:31:00 AM,C,35.5
9/12/18 11:41:00 AM,C,37
9/12/18 11:51:00 AM,C,38.5
9/12/18 12:01:00 PM,C,39.5
9/12/18 12:11:00 PM,C,40.5
9/12/18 12:21:00 PM,C,42
9/12/18 12:31:00 PM,C,43
9/12/18 12:41:00 PM,C,44.5
9/12/18 12:51:00 PM,C,45.5
9/12/18 1:01:00 PM,C,46
9/12/18 1:11:00 PM,C,47
9/12/18 1:21:00 PM,C,47.5
9/12/18 1:31:00 PM,C,48.5
9/12/18 1:41:00 PM,C,49
9/12/18 1:51:00 PM,C,49.5
9/12/18 2:01:00 PM,C,49.5
9/12/18 2:11:00 PM,C,49.5
9/12/18 2:21:00 PM,C,49.5
9/12/18 2:31:00 PM,C,49
9/12/18 2:41:00 PM,C,48.5
9/12/18 2:51:00 PM,C,48.5
9/12/18 3:01:00 PM,C,48
9/12/18 3:11:00 PM,C,47.5
9/12/18 3:21:00 PM,C,46.5
9/12/18 3:31:00 PM,C,45.5
9/12/18 3:41:00 PM,C,45
9/12/18 3:51:00 PM,C,44
9/12/18 4:01:00 PM,C,43
9/12/18 4:11:00 PM,C,41.5
9/12/18 4:21:00 PM,C,40.5
9/12/18 4:31:00 PM,C,39
9/12/18 4:41:00 PM,C,38
9/12/18 4:51:00 PM,C,36.5
9/12/18 5:01:00 PM,C,35.5
9/12/18 5:11:00 PM,C,34.5
9/12/18 5:21:00 PM,C,33.5
9/12/18 5:31:00 PM,C,32.5
9/12/18 5:41:00 PM,C,31.5
9/12/18 5:51:00 PM,C,30.5
9/12/18 6:01:00 PM,C,29.5
