1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 010000003296A521
Is Mission Active?  true
Mission Start:  Wed Sep 19 10:43:00 PDT 2018
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  5328
Total Samples:  17919
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/12/18 5:23:00 AM,C,15
10/12/18 5:33:00 AM,C,14
10/12/18 5:43:00 AM,C,14
10/12/18 5:53:00 AM,C,14
10/12/18 6:03:00 AM,C,14
10/12/18 6:13:00 AM,C,14
10/12/18 6:23:00 AM,C,14
10/12/18 6:33:00 AM,C,14.5
10/12/18 6:43:00 AM,C,14.5
10/12/18 6:53:00 AM,C,14.5
10/12/18 7:03:00 AM,C,14
10/12/18 7:13:00 AM,C,13.5
10/12/18 7:23:00 AM,C,14
10/12/18 7:33:00 AM,C,15
10/12/18 7:43:00 AM,C,15.5
10/12/18 7:53:00 AM,C,15.5
10/12/18 8:03:00 AM,C,15.5
10/12/18 8:13:00 AM,C,16
10/12/18 8:23:00 AM,C,16.5
10/12/18 8:33:00 AM,C,20.5
10/12/18 8:43:00 AM,C,25
10/12/18 8:53:00 AM,C,27
10/12/18 9:03:00 AM,C,28.5
10/12/18 9:13:00 AM,C,29.5
10/12/18 9:23:00 AM,C,29
10/12/18 9:33:00 AM,C,29
10/12/18 9:43:00 AM,C,29
10/12/18 9:53:00 AM,C,29
10/12/18 10:03:00 AM,C,29.5
10/12/18 10:13:00 AM,C,29.5
10/12/18 10:23:00 AM,C,29.5
10/12/18 10:33:00 AM,C,29.5
10/12/18 10:43:00 AM,C,30
10/12/18 10:53:00 AM,C,30
10/12/18 11:03:00 AM,C,30
10/12/18 11:13:00 AM,C,30.5
10/12/18 11:23:00 AM,C,30.5
10/12/18 11:33:00 AM,C,30
10/12/18 11:43:00 AM,C,30
10/12/18 11:53:00 AM,C,30
10/12/18 12:03:00 PM,C,30
10/12/18 12:13:00 PM,C,30
10/12/18 12:23:00 PM,C,31
10/12/18 12:33:00 PM,C,31
10/12/18 12:43:00 PM,C,31
10/12/18 12:53:00 PM,C,31.5
10/12/18 1:03:00 PM,C,31.5
10/12/18 1:13:00 PM,C,32
10/12/18 1:23:00 PM,C,31.5
10/12/18 1:33:00 PM,C,31.5
10/12/18 1:43:00 PM,C,30.5
10/12/18 1:53:00 PM,C,30.5
10/12/18 2:03:00 PM,C,30
10/12/18 2:13:00 PM,C,30
10/12/18 2:23:00 PM,C,29.5
10/12/18 2:33:00 PM,C,29.5
10/12/18 2:43:00 PM,C,29.5
10/12/18 2:53:00 PM,C,29.5
10/12/18 3:03:00 PM,C,29
10/12/18 3:13:00 PM,C,28.5
10/12/18 3:23:00 PM,C,28.5
10/12/18 3:33:00 PM,C,28
10/12/18 3:43:00 PM,C,27
10/12/18 3:53:00 PM,C,27.5
10/12/18 4:03:00 PM,C,26
10/12/18 4:13:00 PM,C,25.5
10/12/18 4:23:00 PM,C,24.5
10/12/18 4:33:00 PM,C,24
10/12/18 4:43:00 PM,C,23.5
10/12/18 4:53:00 PM,C,23
10/12/18 5:03:00 PM,C,22.5
10/12/18 5:13:00 PM,C,22
10/12/18 5:23:00 PM,C,21.5
10/12/18 5:33:00 PM,C,20.5
10/12/18 5:43:00 PM,C,20
10/12/18 5:53:00 PM,C,19.5
10/12/18 6:03:00 PM,C,19
10/12/18 6:13:00 PM,C,18.5
10/12/18 6:23:00 PM,C,18.5
10/12/18 6:33:00 PM,C,18
10/12/18 6:43:00 PM,C,17.5
10/12/18 6:53:00 PM,C,16.5
10/12/18 7:03:00 PM,C,16
10/12/18 7:13:00 PM,C,16
10/12/18 7:23:00 PM,C,15.5
10/12/18 7:33:00 PM,C,15.5
10/12/18 7:43:00 PM,C,15.5
10/12/18 7:53:00 PM,C,15.5
10/12/18 8:03:00 PM,C,15.5
10/12/18 8:13:00 PM,C,15
10/12/18 8:23:00 PM,C,15
10/12/18 8:33:00 PM,C,15
10/12/18 8:43:00 PM,C,15
10/12/18 8:53:00 PM,C,15
10/12/18 9:03:00 PM,C,15
10/12/18 9:13:00 PM,C,15
10/12/18 9:23:00 PM,C,15
10/12/18 9:33:00 PM,C,14.5
10/12/18 9:43:00 PM,C,14.5
10/12/18 9:53:00 PM,C,14.5
10/12/18 10:03:00 PM,C,14.5
10/12/18 10:13:00 PM,C,14.5
10/12/18 10:23:00 PM,C,14.5
10/12/18 10:33:00 PM,C,14.5
10/12/18 10:43:00 PM,C,14.5
10/12/18 10:53:00 PM,C,14.5
10/12/18 11:03:00 PM,C,14.5
10/12/18 11:13:00 PM,C,14.5
10/12/18 11:23:00 PM,C,14.5
10/12/18 11:33:00 PM,C,14.5
10/12/18 11:43:00 PM,C,14.5
10/12/18 11:53:00 PM,C,14.5
10/13/18 12:03:00 AM,C,14.5
10/13/18 12:13:00 AM,C,14.5
10/13/18 12:23:00 AM,C,14.5
10/13/18 12:33:00 AM,C,14.5
10/13/18 12:43:00 AM,C,14.5
10/13/18 12:53:00 AM,C,14.5
10/13/18 1:03:00 AM,C,14.5
10/13/18 1:13:00 AM,C,14.5
10/13/18 1:23:00 AM,C,14.5
10/13/18 1:33:00 AM,C,14.5
10/13/18 1:43:00 AM,C,14.5
