1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: CD000000329FE821
Is Mission Active?  true
Mission Start:  Wed Sep 12 11:14:00 PDT 2018
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  1006
Total Samples:  12550
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/12/18 11:14:00 AM,C,29.5
9/12/18 11:24:00 AM,C,30
9/12/18 11:34:00 AM,C,30
9/12/18 11:44:00 AM,C,30.5
9/12/18 11:54:00 AM,C,31.5
9/12/18 12:04:00 PM,C,32
9/12/18 12:14:00 PM,C,32
9/12/18 12:24:00 PM,C,32
9/12/18 12:34:00 PM,C,32.5
9/12/18 12:44:00 PM,C,32.5
9/12/18 12:54:00 PM,C,33
9/12/18 1:04:00 PM,C,33
9/12/18 1:14:00 PM,C,34
9/12/18 1:24:00 PM,C,34
9/12/18 1:34:00 PM,C,33
9/12/18 1:44:00 PM,C,32.5
9/12/18 1:54:00 PM,C,32.5
9/12/18 2:04:00 PM,C,32.5
9/12/18 2:14:00 PM,C,32.5
9/12/18 2:24:00 PM,C,32.5
9/12/18 2:34:00 PM,C,32.5
9/12/18 2:44:00 PM,C,32
9/12/18 2:54:00 PM,C,32
9/12/18 3:04:00 PM,C,32
9/12/18 3:14:00 PM,C,31
9/12/18 3:24:00 PM,C,31
9/12/18 3:34:00 PM,C,31
9/12/18 3:44:00 PM,C,31
9/12/18 3:54:00 PM,C,31
9/12/18 4:04:00 PM,C,30
9/12/18 4:14:00 PM,C,30
9/12/18 4:24:00 PM,C,30
9/12/18 4:34:00 PM,C,29.5
9/12/18 4:44:00 PM,C,29.5
9/12/18 4:54:00 PM,C,28.5
9/12/18 5:04:00 PM,C,27.5
9/12/18 5:14:00 PM,C,27.5
9/12/18 5:24:00 PM,C,27
9/12/18 5:34:00 PM,C,26
9/12/18 5:44:00 PM,C,25.5
9/12/18 5:54:00 PM,C,24.5
9/12/18 6:04:00 PM,C,24
9/12/18 6:14:00 PM,C,23.5
9/12/18 6:24:00 PM,C,22.5
9/12/18 6:34:00 PM,C,22
9/12/18 6:44:00 PM,C,21
9/12/18 6:54:00 PM,C,20
9/12/18 7:04:00 PM,C,19
9/12/18 7:14:00 PM,C,18.5
9/12/18 7:24:00 PM,C,18
9/12/18 7:34:00 PM,C,17.5
9/12/18 7:44:00 PM,C,16.5
9/12/18 7:54:00 PM,C,16
9/12/18 8:04:00 PM,C,15.5
9/12/18 8:14:00 PM,C,15.5
9/12/18 8:24:00 PM,C,15
9/12/18 8:34:00 PM,C,15
9/12/18 8:44:00 PM,C,15
9/12/18 8:54:00 PM,C,15
9/12/18 9:04:00 PM,C,14.5
9/12/18 9:14:00 PM,C,14.5
9/12/18 9:24:00 PM,C,14.5
9/12/18 9:34:00 PM,C,14.5
9/12/18 9:44:00 PM,C,14.5
9/12/18 9:54:00 PM,C,14
9/12/18 10:04:00 PM,C,14
9/12/18 10:14:00 PM,C,13.5
9/12/18 10:24:00 PM,C,13
9/12/18 10:34:00 PM,C,13
9/12/18 10:44:00 PM,C,13
9/12/18 10:54:00 PM,C,13
9/12/18 11:04:00 PM,C,13
9/12/18 11:14:00 PM,C,13
9/12/18 11:24:00 PM,C,13
9/12/18 11:34:00 PM,C,12.5
9/12/18 11:44:00 PM,C,13
9/12/18 11:54:00 PM,C,13
9/13/18 12:04:00 AM,C,12.5
9/13/18 12:14:00 AM,C,12.5
9/13/18 12:24:00 AM,C,13
9/13/18 12:34:00 AM,C,13
9/13/18 12:44:00 AM,C,12.5
9/13/18 12:54:00 AM,C,12.5
9/13/18 1:04:00 AM,C,12.5
9/13/18 1:14:00 AM,C,12
9/13/18 1:24:00 AM,C,12
9/13/18 1:34:00 AM,C,12
9/13/18 1:44:00 AM,C,12
9/13/18 1:54:00 AM,C,12.5
9/13/18 2:04:00 AM,C,12.5
9/13/18 2:14:00 AM,C,12
9/13/18 2:24:00 AM,C,12
9/13/18 2:34:00 AM,C,12.5
9/13/18 2:44:00 AM,C,12.5
9/13/18 2:54:00 AM,C,12.5
9/13/18 3:04:00 AM,C,12
9/13/18 3:14:00 AM,C,12
9/13/18 3:24:00 AM,C,11.5
9/13/18 3:34:00 AM,C,11.5
9/13/18 3:44:00 AM,C,12
9/13/18 3:54:00 AM,C,12.5
9/13/18 4:04:00 AM,C,12.5
9/13/18 4:14:00 AM,C,11.5
9/13/18 4:24:00 AM,C,11.5
9/13/18 4:34:00 AM,C,11.5
9/13/18 4:44:00 AM,C,11.5
9/13/18 4:54:00 AM,C,11
9/13/18 5:04:00 AM,C,11
9/13/18 5:14:00 AM,C,10.5
9/13/18 5:24:00 AM,C,10.5
9/13/18 5:34:00 AM,C,11
9/13/18 5:44:00 AM,C,12
9/13/18 5:54:00 AM,C,12.5
9/13/18 6:04:00 AM,C,12.5
9/13/18 6:14:00 AM,C,13
9/13/18 6:24:00 AM,C,13
9/13/18 6:34:00 AM,C,13
9/13/18 6:44:00 AM,C,12.5
9/13/18 6:54:00 AM,C,12.5
9/13/18 7:04:00 AM,C,11.5
9/13/18 7:14:00 AM,C,11.5
9/13/18 7:24:00 AM,C,12.5
9/13/18 7:34:00 AM,C,14.5
9/13/18 7:44:00 AM,C,15.5
9/13/18 7:54:00 AM,C,16.5
9/13/18 8:04:00 AM,C,17
9/13/18 8:14:00 AM,C,18
9/13/18 8:24:00 AM,C,19
9/13/18 8:34:00 AM,C,19.5
9/13/18 8:44:00 AM,C,20.5
9/13/18 8:54:00 AM,C,20.5
9/13/18 9:04:00 AM,C,21
9/13/18 9:14:00 AM,C,22
9/13/18 9:24:00 AM,C,22.5
9/13/18 9:34:00 AM,C,23.5
9/13/18 9:44:00 AM,C,24
9/13/18 9:54:00 AM,C,25
9/13/18 10:04:00 AM,C,25.5
9/13/18 10:14:00 AM,C,26.5
9/13/18 10:24:00 AM,C,27.5
9/13/18 10:34:00 AM,C,28
9/13/18 10:44:00 AM,C,29
9/13/18 10:54:00 AM,C,29.5
9/13/18 11:04:00 AM,C,30
9/13/18 11:14:00 AM,C,31
9/13/18 11:24:00 AM,C,31
9/13/18 11:34:00 AM,C,31.5
9/13/18 11:44:00 AM,C,32.5
9/13/18 11:54:00 AM,C,33
9/13/18 12:04:00 PM,C,33.5
9/13/18 12:14:00 PM,C,33.5
9/13/18 12:24:00 PM,C,34
9/13/18 12:34:00 PM,C,34.5
9/13/18 12:44:00 PM,C,35
9/13/18 12:54:00 PM,C,34.5
9/13/18 1:04:00 PM,C,35
9/13/18 1:14:00 PM,C,35
9/13/18 1:24:00 PM,C,35.5
9/13/18 1:34:00 PM,C,36
9/13/18 1:44:00 PM,C,36
9/13/18 1:54:00 PM,C,36
9/13/18 2:04:00 PM,C,36
9/13/18 2:14:00 PM,C,36
9/13/18 2:24:00 PM,C,36
9/13/18 2:34:00 PM,C,36
9/13/18 2:44:00 PM,C,35.5
9/13/18 2:54:00 PM,C,35.5
9/13/18 3:04:00 PM,C,35.5
9/13/18 3:14:00 PM,C,35
9/13/18 3:24:00 PM,C,35
9/13/18 3:34:00 PM,C,34.5
9/13/18 3:44:00 PM,C,34.5
9/13/18 3:54:00 PM,C,34.5
9/13/18 4:04:00 PM,C,34
9/13/18 4:14:00 PM,C,33.5
9/13/18 4:24:00 PM,C,33
9/13/18 4:34:00 PM,C,32
9/13/18 4:44:00 PM,C,31.5
9/13/18 4:54:00 PM,C,31.5
9/13/18 5:04:00 PM,C,31
9/13/18 5:14:00 PM,C,30
9/13/18 5:24:00 PM,C,29.5
9/13/18 5:34:00 PM,C,29
9/13/18 5:44:00 PM,C,28.5
9/13/18 5:54:00 PM,C,28
9/13/18 6:04:00 PM,C,27.5
9/13/18 6:14:00 PM,C,27
9/13/18 6:24:00 PM,C,26.5
9/13/18 6:34:00 PM,C,25.5
9/13/18 6:44:00 PM,C,25
9/13/18 6:54:00 PM,C,23.5
9/13/18 7:04:00 PM,C,22
9/13/18 7:14:00 PM,C,20.5
9/13/18 7:24:00 PM,C,19.5
9/13/18 7:34:00 PM,C,19
9/13/18 7:44:00 PM,C,19
9/13/18 7:54:00 PM,C,19
9/13/18 8:04:00 PM,C,18.5
9/13/18 8:14:00 PM,C,18
9/13/18 8:24:00 PM,C,18
9/13/18 8:34:00 PM,C,19
9/13/18 8:44:00 PM,C,19.5
9/13/18 8:54:00 PM,C,19.5
9/13/18 9:04:00 PM,C,20
9/13/18 9:14:00 PM,C,19.5
9/13/18 9:24:00 PM,C,19.5
9/13/18 9:34:00 PM,C,19.5
9/13/18 9:44:00 PM,C,19.5
9/13/18 9:54:00 PM,C,19
9/13/18 10:04:00 PM,C,18.5
9/13/18 10:14:00 PM,C,18
9/13/18 10:24:00 PM,C,17.5
9/13/18 10:34:00 PM,C,17
9/13/18 10:44:00 PM,C,17
9/13/18 10:54:00 PM,C,16.5
9/13/18 11:04:00 PM,C,16
9/13/18 11:14:00 PM,C,16
9/13/18 11:24:00 PM,C,15.5
9/13/18 11:34:00 PM,C,15.5
9/13/18 11:44:00 PM,C,15
9/13/18 11:54:00 PM,C,15.5
9/14/18 12:04:00 AM,C,15
9/14/18 12:14:00 AM,C,15.5
9/14/18 12:24:00 AM,C,15.5
9/14/18 12:34:00 AM,C,14.5
9/14/18 12:44:00 AM,C,14.5
9/14/18 12:54:00 AM,C,14.5
9/14/18 1:04:00 AM,C,14.5
9/14/18 1:14:00 AM,C,14.5
9/14/18 1:24:00 AM,C,14.5
9/14/18 1:34:00 AM,C,15
9/14/18 1:44:00 AM,C,16
9/14/18 1:54:00 AM,C,16
9/14/18 2:04:00 AM,C,16.5
9/14/18 2:14:00 AM,C,16.5
9/14/18 2:24:00 AM,C,17
9/14/18 2:34:00 AM,C,17
9/14/18 2:44:00 AM,C,16.5
9/14/18 2:54:00 AM,C,16
9/14/18 3:04:00 AM,C,15.5
9/14/18 3:14:00 AM,C,15.5
9/14/18 3:24:00 AM,C,15.5
9/14/18 3:34:00 AM,C,15
9/14/18 3:44:00 AM,C,15
9/14/18 3:54:00 AM,C,15
9/14/18 4:04:00 AM,C,15
9/14/18 4:14:00 AM,C,15.5
9/14/18 4:24:00 AM,C,15.5
9/14/18 4:34:00 AM,C,15
9/14/18 4:44:00 AM,C,15
9/14/18 4:54:00 AM,C,15
9/14/18 5:04:00 AM,C,15.5
9/14/18 5:14:00 AM,C,15
9/14/18 5:24:00 AM,C,15
9/14/18 5:34:00 AM,C,15
9/14/18 5:44:00 AM,C,15.5
9/14/18 5:54:00 AM,C,15.5
9/14/18 6:04:00 AM,C,16
9/14/18 6:14:00 AM,C,15.5
9/14/18 6:24:00 AM,C,15
9/14/18 6:34:00 AM,C,15
9/14/18 6:44:00 AM,C,15
9/14/18 6:54:00 AM,C,15
9/14/18 7:04:00 AM,C,15
9/14/18 7:14:00 AM,C,15
9/14/18 7:24:00 AM,C,15.5
9/14/18 7:34:00 AM,C,16
9/14/18 7:44:00 AM,C,16
9/14/18 7:54:00 AM,C,18
9/14/18 8:04:00 AM,C,21
9/14/18 8:14:00 AM,C,24
9/14/18 8:24:00 AM,C,26
9/14/18 8:34:00 AM,C,27.5
9/14/18 8:44:00 AM,C,28
9/14/18 8:54:00 AM,C,28.5
9/14/18 9:04:00 AM,C,29
9/14/18 9:14:00 AM,C,30
9/14/18 9:24:00 AM,C,30
9/14/18 9:34:00 AM,C,30.5
9/14/18 9:44:00 AM,C,31
9/14/18 9:54:00 AM,C,31
9/14/18 10:04:00 AM,C,31.5
9/14/18 10:14:00 AM,C,31
9/14/18 10:24:00 AM,C,31.5
9/14/18 10:34:00 AM,C,32.5
9/14/18 10:44:00 AM,C,33
9/14/18 10:54:00 AM,C,33.5
9/14/18 11:04:00 AM,C,34
9/14/18 11:14:00 AM,C,34.5
9/14/18 11:24:00 AM,C,34.5
9/14/18 11:34:00 AM,C,35
9/14/18 11:44:00 AM,C,35.5
9/14/18 11:54:00 AM,C,36
9/14/18 12:04:00 PM,C,36
9/14/18 12:14:00 PM,C,37
9/14/18 12:24:00 PM,C,37.5
9/14/18 12:34:00 PM,C,37.5
9/14/18 12:44:00 PM,C,37.5
9/14/18 12:54:00 PM,C,37.5
9/14/18 1:04:00 PM,C,37.5
9/14/18 1:14:00 PM,C,38
9/14/18 1:24:00 PM,C,38
9/14/18 1:34:00 PM,C,38.5
9/14/18 1:44:00 PM,C,38.5
9/14/18 1:54:00 PM,C,38
9/14/18 2:04:00 PM,C,38
9/14/18 2:14:00 PM,C,38
9/14/18 2:24:00 PM,C,38
9/14/18 2:34:00 PM,C,37.5
9/14/18 2:44:00 PM,C,37
9/14/18 2:54:00 PM,C,37.5
9/14/18 3:04:00 PM,C,37
9/14/18 3:14:00 PM,C,36.5
9/14/18 3:24:00 PM,C,37
9/14/18 3:34:00 PM,C,36.5
9/14/18 3:44:00 PM,C,36.5
9/14/18 3:54:00 PM,C,36.5
9/14/18 4:04:00 PM,C,36.5
9/14/18 4:14:00 PM,C,35.5
9/14/18 4:24:00 PM,C,35
9/14/18 4:34:00 PM,C,34.5
9/14/18 4:44:00 PM,C,34
9/14/18 4:54:00 PM,C,33.5
9/14/18 5:04:00 PM,C,33
9/14/18 5:14:00 PM,C,32.5
9/14/18 5:24:00 PM,C,32
9/14/18 5:34:00 PM,C,31.5
9/14/18 5:44:00 PM,C,31
9/14/18 5:54:00 PM,C,30
9/14/18 6:04:00 PM,C,29.5
9/14/18 6:14:00 PM,C,29
9/14/18 6:24:00 PM,C,28
9/14/18 6:34:00 PM,C,27.5
9/14/18 6:44:00 PM,C,26.5
9/14/18 6:54:00 PM,C,25
9/14/18 7:04:00 PM,C,23.5
9/14/18 7:14:00 PM,C,22
9/14/18 7:24:00 PM,C,21
9/14/18 7:34:00 PM,C,20.5
9/14/18 7:44:00 PM,C,19.5
9/14/18 7:54:00 PM,C,19
9/14/18 8:04:00 PM,C,18.5
9/14/18 8:14:00 PM,C,18
9/14/18 8:24:00 PM,C,18.5
9/14/18 8:34:00 PM,C,18
9/14/18 8:44:00 PM,C,18
9/14/18 8:54:00 PM,C,17.5
9/14/18 9:04:00 PM,C,17.5
9/14/18 9:14:00 PM,C,17
9/14/18 9:24:00 PM,C,17
9/14/18 9:34:00 PM,C,17
9/14/18 9:44:00 PM,C,17.5
9/14/18 9:54:00 PM,C,17
9/14/18 10:04:00 PM,C,16.5
9/14/18 10:14:00 PM,C,17
9/14/18 10:24:00 PM,C,17
9/14/18 10:34:00 PM,C,16.5
9/14/18 10:44:00 PM,C,16.5
9/14/18 10:54:00 PM,C,16.5
9/14/18 11:04:00 PM,C,16.5
9/14/18 11:14:00 PM,C,16.5
9/14/18 11:24:00 PM,C,16.5
9/14/18 11:34:00 PM,C,16.5
9/14/18 11:44:00 PM,C,16.5
9/14/18 11:54:00 PM,C,16.5
9/15/18 12:04:00 AM,C,16
9/15/18 12:14:00 AM,C,15
9/15/18 12:24:00 AM,C,14.5
9/15/18 12:34:00 AM,C,14.5
9/15/18 12:44:00 AM,C,14
9/15/18 12:54:00 AM,C,14
9/15/18 1:04:00 AM,C,14.5
9/15/18 1:14:00 AM,C,15
9/15/18 1:24:00 AM,C,14.5
9/15/18 1:34:00 AM,C,14.5
9/15/18 1:44:00 AM,C,14
9/15/18 1:54:00 AM,C,14
9/15/18 2:04:00 AM,C,14.5
9/15/18 2:14:00 AM,C,14
9/15/18 2:24:00 AM,C,14
9/15/18 2:34:00 AM,C,14
9/15/18 2:44:00 AM,C,14.5
9/15/18 2:54:00 AM,C,15.5
9/15/18 3:04:00 AM,C,15
9/15/18 3:14:00 AM,C,14.5
9/15/18 3:24:00 AM,C,14
9/15/18 3:34:00 AM,C,13.5
9/15/18 3:44:00 AM,C,13
9/15/18 3:54:00 AM,C,12.5
9/15/18 4:04:00 AM,C,12.5
9/15/18 4:14:00 AM,C,13
9/15/18 4:24:00 AM,C,13
9/15/18 4:34:00 AM,C,12.5
9/15/18 4:44:00 AM,C,13.5
9/15/18 4:54:00 AM,C,13.5
9/15/18 5:04:00 AM,C,13.5
9/15/18 5:14:00 AM,C,13
9/15/18 5:24:00 AM,C,12.5
9/15/18 5:34:00 AM,C,12
9/15/18 5:44:00 AM,C,11.5
9/15/18 5:54:00 AM,C,12
9/15/18 6:04:00 AM,C,12
9/15/18 6:14:00 AM,C,12
9/15/18 6:24:00 AM,C,12
9/15/18 6:34:00 AM,C,11.5
9/15/18 6:44:00 AM,C,12.5
9/15/18 6:54:00 AM,C,12
9/15/18 7:04:00 AM,C,12
9/15/18 7:14:00 AM,C,13
9/15/18 7:24:00 AM,C,14
9/15/18 7:34:00 AM,C,15
9/15/18 7:44:00 AM,C,15.5
9/15/18 7:54:00 AM,C,17
9/15/18 8:04:00 AM,C,18
9/15/18 8:14:00 AM,C,20.5
9/15/18 8:24:00 AM,C,22.5
9/15/18 8:34:00 AM,C,23
9/15/18 8:44:00 AM,C,23
9/15/18 8:54:00 AM,C,23.5
9/15/18 9:04:00 AM,C,24.5
9/15/18 9:14:00 AM,C,25.5
9/15/18 9:24:00 AM,C,26
9/15/18 9:34:00 AM,C,26.5
9/15/18 9:44:00 AM,C,27
9/15/18 9:54:00 AM,C,27.5
9/15/18 10:04:00 AM,C,28
9/15/18 10:14:00 AM,C,28.5
9/15/18 10:24:00 AM,C,29
9/15/18 10:34:00 AM,C,29.5
9/15/18 10:44:00 AM,C,30.5
9/15/18 10:54:00 AM,C,31
9/15/18 11:04:00 AM,C,31.5
9/15/18 11:14:00 AM,C,32
9/15/18 11:24:00 AM,C,33
9/15/18 11:34:00 AM,C,33.5
9/15/18 11:44:00 AM,C,34
9/15/18 11:54:00 AM,C,34
9/15/18 12:04:00 PM,C,34
9/15/18 12:14:00 PM,C,34
9/15/18 12:24:00 PM,C,34
9/15/18 12:34:00 PM,C,34
9/15/18 12:44:00 PM,C,34
9/15/18 12:54:00 PM,C,34.5
9/15/18 1:04:00 PM,C,35
9/15/18 1:14:00 PM,C,35.5
9/15/18 1:24:00 PM,C,35
9/15/18 1:34:00 PM,C,34
9/15/18 1:44:00 PM,C,33.5
9/15/18 1:54:00 PM,C,33
9/15/18 2:04:00 PM,C,32.5
9/15/18 2:14:00 PM,C,33
9/15/18 2:24:00 PM,C,33
9/15/18 2:34:00 PM,C,33
9/15/18 2:44:00 PM,C,33
9/15/18 2:54:00 PM,C,33
9/15/18 3:04:00 PM,C,32.5
9/15/18 3:14:00 PM,C,32.5
9/15/18 3:24:00 PM,C,32
9/15/18 3:34:00 PM,C,32
9/15/18 3:44:00 PM,C,32
9/15/18 3:54:00 PM,C,31.5
9/15/18 4:04:00 PM,C,31.5
9/15/18 4:14:00 PM,C,31
9/15/18 4:24:00 PM,C,31
9/15/18 4:34:00 PM,C,30.5
9/15/18 4:44:00 PM,C,30
9/15/18 4:54:00 PM,C,30
9/15/18 5:04:00 PM,C,29.5
9/15/18 5:14:00 PM,C,29.5
9/15/18 5:24:00 PM,C,29.5
9/15/18 5:34:00 PM,C,29
9/15/18 5:44:00 PM,C,28.5
9/15/18 5:54:00 PM,C,28
9/15/18 6:04:00 PM,C,27.5
9/15/18 6:14:00 PM,C,27
9/15/18 6:24:00 PM,C,26.5
9/15/18 6:34:00 PM,C,25.5
9/15/18 6:44:00 PM,C,24.5
9/15/18 6:54:00 PM,C,23
9/15/18 7:04:00 PM,C,21.5
9/15/18 7:14:00 PM,C,20.5
9/15/18 7:24:00 PM,C,19.5
9/15/18 7:34:00 PM,C,18.5
9/15/18 7:44:00 PM,C,18
9/15/18 7:54:00 PM,C,17.5
9/15/18 8:04:00 PM,C,17
9/15/18 8:14:00 PM,C,17
