"Plot Title: ground4_KW_2_15_19"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10969483, SEN S/N: 10969483, LBL: Temperature)","Intensity, Lux (LGR S/N: 10969483, SEN S/N: 10969483, LBL: Light Intensity)","Coupler Attached (LGR S/N: 10969483)","Host Connected (LGR S/N: 10969483)","Stopped (LGR S/N: 10969483)","End Of File (LGR S/N: 10969483)"
1,02/15/19 01:00:00 PM,25.222,82667.2,,,,
2,02/15/19 01:05:00 PM,22.812,17222.3,,,,
3,02/15/19 01:10:00 PM,19.948,21355.7,,,,
4,02/15/19 01:15:00 PM,18.140,18600.1,,,,
5,02/15/19 01:20:00 PM,17.379,12400.1,,,,
6,02/15/19 01:25:00 PM,17.855,33066.9,,,,
7,02/15/19 01:30:00 PM,18.045,14466.8,,,,
8,02/15/19 01:35:00 PM,20.329,33066.9,,,,
9,02/15/19 01:40:00 PM,20.901,37200.2,,,,
10,02/15/19 01:45:00 PM,20.710,18600.1,,,,
11,02/15/19 01:50:00 PM,19.092,22044.6,,,,
12,02/15/19 01:55:00 PM,21.760,74400.5,,,,
13,02/15/19 02:00:00 PM,20.996,23422.4,,,,
14,02/15/19 02:05:00 PM,22.525,24800.2,,,,
15,02/15/19 02:10:00 PM,23.966,55111.5,,,,
16,02/15/19 02:15:00 PM,24.158,33066.9,,,,
17,02/15/19 02:20:00 PM,21.378,23422.4,,,,
18,02/15/19 02:25:00 PM,19.092,12400.1,,,,
19,02/15/19 02:30:00 PM,17.950,14466.8,,,,
20,02/15/19 02:35:00 PM,17.665,21355.7,,,,
21,02/15/19 02:40:00 PM,17.760,16533.4,,,,
22,02/15/19 02:45:00 PM,18.616,37200.2,,,,
23,02/15/19 02:50:00 PM,21.569,37200.2,,,,
24,02/15/19 02:55:00 PM,21.473,30311.3,,,,
25,02/15/19 03:00:00 PM,20.996,27555.7,,,,
26,02/15/19 03:05:00 PM,20.996,27555.7,,,,
27,02/15/19 03:10:00 PM,19.948,18600.1,,,,
28,02/15/19 03:15:00 PM,18.331,14466.8,,,,
29,02/15/19 03:20:00 PM,17.760,20666.8,,,,
30,02/15/19 03:25:00 PM,17.094,7577.8,,,,
31,02/15/19 03:30:00 PM,15.664,7577.8,,,,
32,02/15/19 03:35:00 PM,14.900,6200.0,,,,
33,02/15/19 03:40:00 PM,14.709,7233.4,,,,
34,02/15/19 03:45:00 PM,13.942,6544.5,,,,
35,02/15/19 03:50:00 PM,13.654,6200.0,,,,
36,02/15/19 03:55:00 PM,13.654,9644.5,,,,
37,02/15/19 04:00:00 PM,13.654,6200.0,,,,
38,02/15/19 04:05:00 PM,13.365,5166.7,,,,
39,02/15/19 04:10:00 PM,13.173,6544.5,,,,
40,02/15/19 04:15:00 PM,12.690,3100.0,,,,
41,02/15/19 04:20:00 PM,12.497,3788.9,,,,
42,02/15/19 04:25:00 PM,12.304,4994.5,,,,
43,02/15/19 04:30:00 PM,12.207,3272.2,,,,
44,02/15/19 04:35:00 PM,12.110,2755.6,,,,
45,02/15/19 04:40:00 PM,12.110,4305.6,,,,
46,02/15/19 04:45:00 PM,12.207,3788.9,,,,
47,02/15/19 04:50:00 PM,12.013,1980.6,,,,
48,02/15/19 04:55:00 PM,11.916,1044.1,,,,
49,02/15/19 05:00:00 PM,11.625,721.2,,,,
50,02/15/19 05:05:00 PM,11.431,333.7,,,,
51,02/15/19 05:10:00 PM,11.236,473.6,,,,
52,02/15/19 05:15:00 PM,11.041,645.8,,,,
53,02/15/19 05:20:00 PM,10.846,301.4,,,,
54,02/15/19 05:25:00 PM,10.455,172.2,,,,
55,02/15/19 05:30:00 PM,10.161,75.3,,,,
56,02/15/19 05:35:00 PM,10.063,21.5,,,,
57,02/15/19 05:40:00 PM,9.866,43.1,,,,
58,02/15/19 05:45:00 PM,9.669,10.8,,,,
59,02/15/19 05:50:00 PM,9.571,0.0,,,,
60,02/15/19 05:55:00 PM,9.669,0.0,,,,
61,02/15/19 06:00:00 PM,9.669,0.0,,,,
62,02/15/19 06:05:00 PM,9.768,0.0,,,,
63,02/15/19 06:10:00 PM,9.866,0.0,,,,
64,02/15/19 06:15:00 PM,9.965,0.0,,,,
65,02/15/19 06:20:00 PM,9.965,0.0,,,,
66,02/15/19 06:25:00 PM,9.965,0.0,,,,
67,02/15/19 06:30:00 PM,9.965,0.0,,,,
68,02/15/19 06:35:00 PM,9.866,0.0,,,,
69,02/15/19 06:40:00 PM,9.768,0.0,,,,
70,02/15/19 06:45:00 PM,9.768,0.0,,,,
71,02/15/19 06:50:00 PM,9.866,0.0,,,,
72,02/15/19 06:55:00 PM,9.866,0.0,,,,
73,02/15/19 07:00:00 PM,9.768,0.0,,,,
74,02/15/19 07:05:00 PM,9.669,0.0,,,,
75,02/15/19 07:10:00 PM,9.571,0.0,,,,
76,02/15/19 07:15:00 PM,9.472,0.0,,,,
77,02/15/19 07:20:00 PM,9.472,0.0,,,,
78,02/15/19 07:25:00 PM,9.472,0.0,,,,
79,02/15/19 07:30:00 PM,9.373,0.0,,,,
80,02/15/19 07:35:00 PM,9.373,0.0,,,,
81,02/15/19 07:40:00 PM,9.373,0.0,,,,
82,02/15/19 07:45:00 PM,9.373,0.0,,,,
83,02/15/19 07:50:00 PM,9.275,0.0,,,,
84,02/15/19 07:55:00 PM,9.373,0.0,,,,
85,02/15/19 08:00:00 PM,9.373,0.0,,,,
86,02/15/19 08:05:00 PM,9.275,0.0,,,,
87,02/15/19 08:10:00 PM,9.275,0.0,,,,
88,02/15/19 08:15:00 PM,9.373,0.0,,,,
89,02/15/19 08:20:00 PM,9.373,0.0,,,,
90,02/15/19 08:25:00 PM,9.571,0.0,,,,
91,02/15/19 08:30:00 PM,9.571,0.0,,,,
92,02/15/19 08:35:00 PM,9.669,0.0,,,,
93,02/15/19 08:40:00 PM,9.768,0.0,,,,
94,02/15/19 08:45:00 PM,9.768,0.0,,,,
95,02/15/19 08:50:00 PM,9.768,0.0,,,,
96,02/15/19 08:55:00 PM,9.768,0.0,,,,
97,02/15/19 09:00:00 PM,9.768,0.0,,,,
98,02/15/19 09:05:00 PM,9.866,0.0,,,,
99,02/15/19 09:10:00 PM,9.866,0.0,,,,
100,02/15/19 09:15:00 PM,9.866,0.0,,,,
101,02/15/19 09:20:00 PM,9.866,0.0,,,,
102,02/15/19 09:25:00 PM,9.866,0.0,,,,
103,02/15/19 09:30:00 PM,9.866,0.0,,,,
104,02/15/19 09:35:00 PM,9.768,0.0,,,,
105,02/15/19 09:40:00 PM,9.768,0.0,,,,
106,02/15/19 09:45:00 PM,9.768,0.0,,,,
107,02/15/19 09:50:00 PM,9.669,0.0,,,,
108,02/15/19 09:55:00 PM,9.669,0.0,,,,
109,02/15/19 10:00:00 PM,9.669,0.0,,,,
110,02/15/19 10:05:00 PM,9.669,0.0,,,,
111,02/15/19 10:10:00 PM,9.571,0.0,,,,
112,02/15/19 10:15:00 PM,9.472,0.0,,,,
113,02/15/19 10:20:00 PM,9.176,0.0,,,,
114,02/15/19 10:25:00 PM,9.077,0.0,,,,
115,02/15/19 10:30:00 PM,9.275,0.0,,,,
116,02/15/19 10:35:00 PM,9.275,0.0,,,,
117,02/15/19 10:40:00 PM,9.275,0.0,,,,
118,02/15/19 10:45:00 PM,9.176,0.0,,,,
119,02/15/19 10:50:00 PM,9.176,0.0,,,,
120,02/15/19 10:55:00 PM,9.176,0.0,,,,
121,02/15/19 11:00:00 PM,9.077,0.0,,,,
122,02/15/19 11:05:00 PM,9.077,0.0,,,,
123,02/15/19 11:10:00 PM,9.077,0.0,,,,
124,02/15/19 11:15:00 PM,9.077,0.0,,,,
125,02/15/19 11:20:00 PM,8.978,0.0,,,,
126,02/15/19 11:25:00 PM,9.077,0.0,,,,
127,02/15/19 11:30:00 PM,9.176,0.0,,,,
128,02/15/19 11:35:00 PM,9.176,0.0,,,,
129,02/15/19 11:40:00 PM,9.176,0.0,,,,
130,02/15/19 11:45:00 PM,9.275,0.0,,,,
131,02/15/19 11:50:00 PM,9.275,0.0,,,,
132,02/15/19 11:55:00 PM,9.176,0.0,,,,
133,02/16/19 12:00:00 AM,9.077,0.0,,,,
134,02/16/19 12:05:00 AM,8.879,0.0,,,,
135,02/16/19 12:10:00 AM,8.879,0.0,,,,
136,02/16/19 12:15:00 AM,8.978,0.0,,,,
