"Plot Title: ground5_KW_2_15_19"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20369750, SEN S/N: 20369750)","Intensity, Lux (LGR S/N: 20369750, SEN S/N: 20369750)","Coupler Attached (LGR S/N: 20369750)","Host Connected (LGR S/N: 20369750)","Stopped (LGR S/N: 20369750)","End Of File (LGR S/N: 20369750)"
1,02/15/19 01:00:00 PM,21.664,49600.3,,,,
2,02/15/19 01:05:00 PM,20.615,30311.3,,,,
3,02/15/19 01:10:00 PM,18.996,34444.7,,,,
4,02/15/19 01:15:00 PM,18.045,31689.1,,,,
5,02/15/19 01:20:00 PM,17.379,17911.2,,,,
6,02/15/19 01:25:00 PM,17.475,49600.3,,,,
7,02/15/19 01:30:00 PM,17.950,27555.7,,,,
8,02/15/19 01:35:00 PM,17.855,37200.2,,,,
9,02/15/19 01:40:00 PM,17.950,38578.0,,,,
10,02/15/19 01:45:00 PM,18.521,33066.9,,,,
11,02/15/19 01:50:00 PM,18.140,34444.7,,,,
12,02/15/19 01:55:00 PM,18.711,55111.5,,,,
13,02/15/19 02:00:00 PM,18.711,33066.9,,,,
14,02/15/19 02:05:00 PM,18.711,34444.7,,,,
15,02/15/19 02:10:00 PM,18.711,31689.1,,,,
16,02/15/19 02:15:00 PM,18.426,31689.1,,,,
17,02/15/19 02:20:00 PM,17.665,31689.1,,,,
18,02/15/19 02:25:00 PM,16.903,18600.1,,,,
19,02/15/19 02:30:00 PM,16.046,22044.6,,,,
20,02/15/19 02:35:00 PM,15.951,28933.5,,,,
21,02/15/19 02:40:00 PM,15.951,20666.8,,,,
22,02/15/19 02:45:00 PM,15.951,30311.3,,,,
23,02/15/19 02:50:00 PM,17.094,37200.2,,,,
24,02/15/19 02:55:00 PM,17.475,30311.3,,,,
25,02/15/19 03:00:00 PM,17.284,26178.0,,,,
26,02/15/19 03:05:00 PM,17.760,33066.9,,,,
27,02/15/19 03:10:00 PM,17.475,24800.2,,,,
28,02/15/19 03:15:00 PM,16.713,24800.2,,,,
29,02/15/19 03:20:00 PM,16.618,28933.5,,,,
30,02/15/19 03:25:00 PM,16.618,14466.8,,,,
31,02/15/19 03:30:00 PM,15.378,14466.8,,,,
32,02/15/19 03:35:00 PM,14.517,10677.8,,,,
33,02/15/19 03:40:00 PM,14.325,14466.8,,,,
34,02/15/19 03:45:00 PM,13.654,10677.8,,,,
35,02/15/19 03:50:00 PM,13.365,10333.4,,,,
36,02/15/19 03:55:00 PM,13.173,14466.8,,,,
37,02/15/19 04:00:00 PM,13.461,11711.2,,,,
38,02/15/19 04:05:00 PM,13.365,9644.5,,,,
