"Plot Title: ground7_KW_2_15_19"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10969476, SEN S/N: 10969476)","Intensity, Lux (LGR S/N: 10969476, SEN S/N: 10969476)","Coupler Attached (LGR S/N: 10969476)","Host Connected (LGR S/N: 10969476)","End Of File (LGR S/N: 10969476)"
1,02/15/19 01:00:00 PM,24.351,68889.3,,,
2,02/15/19 01:05:00 PM,22.429,24800.2,,,
3,02/15/19 01:10:00 PM,20.329,27555.7,,,
4,02/15/19 01:15:00 PM,18.711,21355.7,,,
5,02/15/19 01:20:00 PM,17.665,13089.0,,,
6,02/15/19 01:25:00 PM,17.760,38578.0,,,
7,02/15/19 01:30:00 PM,17.760,18600.1,,,
8,02/15/19 01:35:00 PM,18.331,31689.1,,,
9,02/15/19 01:40:00 PM,18.806,34444.7,,,
10,02/15/19 01:45:00 PM,19.187,20666.8,,,
11,02/15/19 01:50:00 PM,18.331,23422.4,,,
12,02/15/19 01:55:00 PM,19.472,63378.2,,,
13,02/15/19 02:00:00 PM,19.758,28933.5,,,
14,02/15/19 02:05:00 PM,20.615,24800.2,,,
15,02/15/19 02:10:00 PM,21.282,44089.2,,,
16,02/15/19 02:15:00 PM,21.187,30311.3,,,
17,02/15/19 02:20:00 PM,19.853,24800.2,,,
18,02/15/19 02:25:00 PM,18.236,14466.8,,,
19,02/15/19 02:30:00 PM,17.094,15155.7,,,
20,02/15/19 02:35:00 PM,16.618,21355.7,,,
21,02/15/19 02:40:00 PM,16.713,18600.1,,,
22,02/15/19 02:45:00 PM,17.284,37200.2,,,
23,02/15/19 02:50:00 PM,18.996,34444.7,,,
24,02/15/19 02:55:00 PM,19.377,30311.3,,,
25,02/15/19 03:00:00 PM,19.187,28933.5,,,
26,02/15/19 03:05:00 PM,19.472,30311.3,,,
27,02/15/19 03:10:00 PM,18.901,20666.8,,,
28,02/15/19 03:15:00 PM,17.855,17222.3,,,
29,02/15/19 03:20:00 PM,17.379,24800.2,,,
30,02/15/19 03:25:00 PM,17.189,9644.5,,,
31,02/15/19 03:30:00 PM,15.760,8611.2,,,
32,02/15/19 03:35:00 PM,14.804,7577.8,,,
33,02/15/19 03:40:00 PM,14.421,8266.7,,,
34,02/15/19 03:45:00 PM,13.750,6544.5,,,
35,02/15/19 03:50:00 PM,13.461,7577.8,,,
36,02/15/19 03:55:00 PM,13.269,11022.3,,,
37,02/15/19 04:00:00 PM,13.461,8266.7,,,
38,02/15/19 04:05:00 PM,13.365,7233.4,,,
39,02/15/19 04:10:00 PM,13.173,8266.7,,,
40,02/15/19 04:15:00 PM,12.787,3788.9,,,
41,02/15/19 04:20:00 PM,12.497,4477.8,,,
42,02/15/19 04:25:00 PM,12.304,5511.1,,,
43,02/15/19 04:30:00 PM,12.110,3788.9,,,
44,02/15/19 04:35:00 PM,12.110,3272.2,,,
45,02/15/19 04:40:00 PM,12.013,5338.9,,,
46,02/15/19 04:45:00 PM,12.110,4650.0,,,
47,02/15/19 04:50:00 PM,12.013,2238.9,,,
48,02/15/19 04:55:00 PM,11.722,1108.7,,,
49,02/15/19 05:00:00 PM,11.431,818.1,,,
50,02/15/19 05:05:00 PM,11.236,376.7,,,
51,02/15/19 05:10:00 PM,11.041,516.7,,,
52,02/15/19 05:15:00 PM,10.944,785.8,,,
53,02/15/19 05:20:00 PM,10.846,398.3,,,
54,02/15/19 05:25:00 PM,10.651,226.0,,,
55,02/15/19 05:30:00 PM,10.455,75.3,,,
56,02/15/19 05:35:00 PM,10.357,21.5,,,
57,02/15/19 05:40:00 PM,10.161,43.1,,,
58,02/15/19 05:45:00 PM,9.965,10.8,,,
59,02/15/19 05:50:00 PM,9.965,0.0,,,
60,02/15/19 05:55:00 PM,9.965,0.0,,,
61,02/15/19 06:00:00 PM,9.866,0.0,,,
62,02/15/19 06:05:00 PM,9.965,0.0,,,
63,02/15/19 06:10:00 PM,9.965,0.0,,,
64,02/15/19 06:15:00 PM,9.965,0.0,,,
65,02/15/19 06:20:00 PM,10.063,0.0,,,
66,02/15/19 06:25:00 PM,10.063,0.0,,,
67,02/15/19 06:30:00 PM,9.965,0.0,,,
