"Plot Title: table4_KW_2_15_19"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20400598, SEN S/N: 20400598, LBL: Temperature)","Intensity, Lux (LGR S/N: 20400598, SEN S/N: 20400598, LBL: Light Intensity)","Coupler Attached (LGR S/N: 20400598)","Coupler Detached (LGR S/N: 20400598)","Host Connected (LGR S/N: 20400598)","Stopped (LGR S/N: 20400598)","End Of File (LGR S/N: 20400598)"
1,02/15/19 01:00:00 PM,22.333,137778.7,,,,,
2,02/15/19 01:05:00 PM,19.853,44089.2,,,,,
3,02/15/19 01:10:00 PM,18.236,49600.3,,,,,
4,02/15/19 01:15:00 PM,17.189,42711.4,,,,,
5,02/15/19 01:20:00 PM,16.713,27555.7,,,,,
6,02/15/19 01:25:00 PM,17.475,68889.3,,,,,
7,02/15/19 01:30:00 PM,17.855,38578.0,,,,,
8,02/15/19 01:35:00 PM,19.092,63378.2,,,,,
9,02/15/19 01:40:00 PM,19.187,68889.3,,,,,
10,02/15/19 01:45:00 PM,19.377,44089.2,,,,,
11,02/15/19 01:50:00 PM,17.760,49600.3,,,,,
12,02/15/19 01:55:00 PM,20.043,148801.0,,,,,
13,02/15/19 02:00:00 PM,19.282,60622.6,,,,,
14,02/15/19 02:05:00 PM,20.805,55111.5,,,,,
15,02/15/19 02:10:00 PM,21.091,104711.8,,,,,
16,02/15/19 02:15:00 PM,20.615,71644.9,,,,,
17,02/15/19 02:20:00 PM,18.331,49600.3,,,,,
18,02/15/19 02:25:00 PM,17.189,30311.3,,,,,
19,02/15/19 02:30:00 PM,16.237,33066.9,,,,,
20,02/15/19 02:35:00 PM,16.618,52355.9,,,,,
21,02/15/19 02:40:00 PM,16.808,39955.8,,,,,
22,02/15/19 02:45:00 PM,17.475,93689.5,,,,,
23,02/15/19 02:50:00 PM,20.710,93689.5,,,,,
24,02/15/19 02:55:00 PM,19.567,79911.6,,,,,
25,02/15/19 03:00:00 PM,18.901,71644.9,,,,,
26,02/15/19 03:05:00 PM,19.377,66133.8,,,,,
27,02/15/19 03:10:00 PM,18.236,42711.4,,,,,
28,02/15/19 03:15:00 PM,16.999,37200.2,,,,,
29,02/15/19 03:20:00 PM,16.808,52355.9,,,,,
30,02/15/19 03:25:00 PM,16.332,20666.8,,,,,
31,02/15/19 03:30:00 PM,14.613,19977.9,,,,,
32,02/15/19 03:35:00 PM,14.038,16533.4,,,,,
33,02/15/19 03:40:00 PM,14.038,17222.3,,,,,
34,02/15/19 03:45:00 PM,13.173,15844.5,,,,,
35,02/15/19 03:50:00 PM,13.076,14466.8,,,,,
36,02/15/19 03:55:00 PM,13.076,22044.6,,,,,
