Bag Label,Time Point,Percent_Mass_Loss,Exclude
RCT1R1,1,0.098048785,No
RCT1R2,1,0.196503617,No
RCT1R3,1,0.005761282,No
RCT1R4,1,0.106293823,No
RCT1R5,1,0.082306086,No
RCT1R6,1,-0.027374011,No
RCT1R7,1,0.039707834,No
RCT2R1,2,0.204960557,No
RCT2R2,2,0.275534549,No
RCT2R3,2,0.295188027,No
RCT2R4,2,0.250433631,No
RCT2R5,2,0.218863358,No
RCT2R6,2,0.297025909,No
RCT2R7,2,0.233919431,No
ROT1R1,1,0.13550601,No
ROT1R2,1,0.131893721,No
ROT1R3,1,0.195202384,No
ROT1R4,1,0.14939042,No
ROT1R5,1,0.203748947,No
ROT1R6,1,0.115085538,No
ROT1R7,1,0.168064724,No
ROT2R1,2,0.213676581,No
ROT2R2,2,0.220085468,No
ROT2R3,2,0.211007661,No
ROT2R4,2,0.291428918,No
ROT2R5,2,0.276118649,No
ROT2R6,2,0.310215095,No
ROT2R7,2,0.288754667,No
RUT1R1,1,0.240616185,No
RUT1R2,1,0.153518148,No
RUT1R3,1,0.213728617,No
RUT1R4,1,0.142244495,No
RUT1R5,1,0.235679525,No
RUT1R6,1,0.202554144,No
RUT1R7,1,0.164036147,No
RUT2R1,2,0.251228786,No
RUT2R2,2,0.257704492,No
RUT2R3,2,0.252530266,No
RUT2R4,2,0.255203701,No
RUT2R5,2,0.312863108,No
RUT2R6,2,0.293845854,No
RUT2R7,2,0.327392655,No
RET1R1,1,0.218167622,No
RET1R2,1,0.15942462,No
RET1R3,1,0.213453874,No
RET1R4,1,0.218952766,No
RET1R5,1,0.180288178,No
RET1R6,1,0.144918421,No
RET1R7,1,0.189438055,No
RET2R1,2,0.245054989,No
RET2R2,2,0.274324407,No
RET2R3,2,0.263998239,No
RET2R4,2,0.290289796,No
RET2R5,2,0.323592262,No
RET2R6,2,0.342658991,No
RET2R7,2,0.279410844,No
RCT3R1,3,0.238219628,No
RCT3R2,3,0.268931694,No
RCT3R3,3,0.343705957,No
RCT3R4,3,0.288232135,No
RCT3R5,3,0.332150457,No
RCT3R6,3,0.33846434,No
RCT3R7,3,0.271766877,No
ROT3R1,3,0.219848588,No
ROT3R2,3,0.299206076,No
ROT3R3,3,0.300484138,No
ROT3R4,3,0.297560245,No
ROT3R5,3,0.309933739,No
ROT3R6,3,0.325376656,No
ROT3R7,3,0.317886645,No
RUT3R1,3,0.242254453,No
RUT3R2,3,0.299282712,No
RUT3R3,3,0.271542298,No
RUT3R4,3,0.337623722,No
RUT3R5,3,0.303016331,No
RUT3R6,3,0.302890226,No
RUT3R7,3,0.263920487,No
RET3R1,3,0.286130359,No
RET3R2,3,0.324443675,No
RET3R3,3,0.370781059,No
RET3R4,3,0.358043448,No
RET3R5,3,0.324958298,No
RET3R6,3,0.375080869,No
RET3R7,3,0.401258948,No
RCT4R1,4,0.373801161,No
RCT4R2,4,0.216534504,No
RCT4R3,4,0.352443024,No
RCT4R4,4,0.274572511,No
RCT4R5,4,0.207751544,No
RCT4R6,4,0.297572649,No
RCT4R7,4,0.333460635,No
ROT4R1,4,0.296470148,No
ROT4R2,4,0.253332071,No
ROT4R3,4,0.268898822,No
ROT4R4,4,0.304217769,No
ROT4R5,4,0.319493978,No
ROT4R6,4,0.281310562,No
ROT4R7,4,0.294856448,No
RUT4R1,4,0.109750577,No
RUT4R2,4,0.338139126,No
RUT4R3,4,0.307635442,No
RUT4R4,4,0.291362508,No
RUT4R5,4,0.274590834,No
RUT4R6,4,0.29351053,No
RUT4R7,4,0.271933806,No
RET4R1,4,0.354608676,No
RET4R2,4,0.435042813,No
RET4R3,4,0.395478447,No
RET4R4,4,0.404271438,No
RET4R5,4,0.453467878,No
RET4R6,4,0.335827747,No
RET4R7,4,0.372423215,No
RCT5R1,5,0.256301163,No
RCT5R2,5,0.32295319,No
RCT5R3,5,0.314454461,No
RCT5R4,5,0.282261621,No
RCT5R5,5,0.358575042,No
RCT5R6,5,0.236150786,No
RCT5R7,5,0.343375571,No
ROT5R1,5,0.230375531,No
ROT5R2,5,0.267980963,No
ROT5R3,5,0.314031447,No
ROT5R4,5,0.176497801,No
ROT5R5,5,0.423835961,No
ROT5R6,5,0.380313305,No
ROT5R7,5,0.314866214,No
RUT5R1,5,-0.591079367,Yes
RUT5R2,5,0.786964375,Yes
RUT5R3,5,0.299983316,No
RUT5R4,5,0.239325773,No
RUT5R5,5,0.343795094,No
RUT5R6,5,0.347160305,No
RUT5R7,5,0.304320493,No
RET5R1,5,0.489756827,No
RET5R2,5,0.435394642,No
RET5R3,5,0.492394588,No
RET5R4,5,0.507446337,No
RET5R5,5,0.37829076,No
RET5R6,5,0.403712188,No
RET5R7,5,0.432601247,No
